Sr. no,Date,Open,High,Low,Close,Volume
744,2023-04-19T15:00:00+0530,1663.35,1665,1662.85,1664.9,60079
745,2023-04-19T15:05:00+0530,1664.95,1668.35,1664,1666,169495
746,2023-04-19T15:10:00+0530,1666,1666.4,1663.25,1666.35,461468
747,2023-04-19T15:15:00+0530,1666.35,1666.4,1662.5,1664.4,278752
748,2023-04-19T15:20:00+0530,1664.3,1667.8,1664.3,1666.05,650248
749,2023-04-19T15:25:00+0530,1666.05,1668.45,1665.6,1668,298351
750,2023-04-20T09:15:00+0530,1671.7,1673.7,1666.5,1672.3,890570
751,2023-04-20T09:20:00+0530,1672.4,1675.9,1672.4,1674.95,325272
752,2023-04-20T09:25:00+0530,1674.65,1675,1673.6,1675,307518
753,2023-04-20T09:30:00+0530,1675,1676.35,1675,1675.85,176822
754,2023-04-20T09:35:00+0530,1675.85,1677.4,1675.05,1675.75,129430
755,2023-04-20T09:40:00+0530,1675.75,1677.2,1674.5,1676,311599
756,2023-04-20T09:45:00+0530,1676.5,1676.85,1674.85,1675.75,76628
757,2023-04-20T09:50:00+0530,1675.75,1676.9,1675,1675.6,110519
758,2023-04-20T09:55:00+0530,1675.6,1675.6,1673.1,1673.65,85444
759,2023-04-20T10:00:00+0530,1673.7,1673.85,1670.35,1670.8,77249
760,2023-04-20T10:05:00+0530,1670.8,1670.8,1668.5,1668.85,253979
761,2023-04-20T10:10:00+0530,1668.85,1672.45,1668.15,1671.7,371619
762,2023-04-20T10:15:00+0530,1671.2,1673.85,1671.1,1673.85,138454
763,2023-04-20T10:20:00+0530,1673.95,1674.55,1672.5,1674.2,120714
764,2023-04-20T10:25:00+0530,1674,1674.2,1670.65,1671.75,167590
765,2023-04-20T10:30:00+0530,1671.65,1671.65,1669,1669.65,98191
766,2023-04-20T10:35:00+0530,1669.65,1670,1668.1,1668.85,99376
767,2023-04-20T10:40:00+0530,1668.8,1669,1667,1667.05,228080
768,2023-04-20T10:45:00+0530,1667.05,1670.5,1667,1670.15,325308
769,2023-04-20T10:50:00+0530,1670.4,1670.9,1668.7,1669.85,251707
770,2023-04-20T10:55:00+0530,1669.85,1673.3,1669.75,1673.1,275507
771,2023-04-20T11:00:00+0530,1673.1,1673.25,1669.15,1669.25,383484
772,2023-04-20T11:05:00+0530,1669.3,1669.95,1668.2,1668.55,157480
773,2023-04-20T11:10:00+0530,1668.6,1670.6,1668,1668.85,486630
774,2023-04-20T11:15:00+0530,1669.15,1670.65,1668.85,1670.15,124843
775,2023-04-20T11:20:00+0530,1670.05,1671.5,1669.75,1670.35,174946
776,2023-04-20T11:25:00+0530,1670.75,1671.9,1670.05,1671.8,110211
777,2023-04-20T11:30:00+0530,1671.8,1673.45,1670.6,1672.5,223569
778,2023-04-20T11:35:00+0530,1672.55,1674,1671.65,1672.9,152972
779,2023-04-20T11:40:00+0530,1672.65,1673,1671.6,1671.6,56805
780,2023-04-20T11:45:00+0530,1671.6,1671.65,1667.95,1670.85,462602
781,2023-04-20T11:50:00+0530,1670.75,1673.25,1670.1,1670.4,543562
782,2023-04-20T11:55:00+0530,1670.4,1672.55,1669.85,1671.55,148937
783,2023-04-20T12:00:00+0530,1671.55,1672.1,1671,1671.9,44836
784,2023-04-20T12:05:00+0530,1671.9,1672.05,1670,1670.75,123402
785,2023-04-20T12:10:00+0530,1670.8,1672,1669.25,1671.2,309287
786,2023-04-20T12:15:00+0530,1670.7,1671.4,1670.5,1670.9,24517
787,2023-04-20T12:20:00+0530,1670.75,1672.05,1670.75,1671.35,33228
788,2023-04-20T12:25:00+0530,1671.25,1671.75,1670.5,1671.25,36999
789,2023-04-20T12:30:00+0530,1671.55,1671.55,1669.4,1670.1,102737
